peer|prefix|path|rfd|mis_rec_ratio|path-with-links|path-with-agg-links
37.49.236.1|147.28.38.0/24|('8218', '174', '1239', '3130')|False|0.4860215053763441|(('8218', '174'), ('174', '1239'), ('1239', '3130'))|('8218c2p', '174p2p', '1239p2c')
37.49.236.1|147.28.38.0/24|('8218', '174', '2914', '3130')|False|0.10268817204301076|(('8218', '174'), ('174', '2914'), ('2914', '3130'))|('8218c2p', '174p2p', '2914p2c')
37.49.236.1|147.28.38.0/24|('8218', '6461', '1239', '3130')|True|0.7537634408602151|(('8218', '6461'), ('6461', '1239'), ('1239', '3130'))|('8218c2p', '6461p2p', '1239p2c')
37.49.236.1|147.28.38.0/24|('8218', '6461', '2914', '3130')|True|0.7559139784946236|(('8218', '6461'), ('6461', '2914'), ('2914', '3130'))|('8218c2p', '6461p2p', '2914p2c')
37.49.236.1|147.28.42.0/24|('8218', '174', '2914', '63528', '58362')|False|0.09032258064516129|(('8218', '174'), ('174', '2914'), ('2914', '63528'), ('63528', '58362'))|('8218c2p', '174p2p', '2914p2c', '63528p2c')
37.49.236.1|147.28.42.0/24|('8218', '6461', '2914', '63528', '58362')|True|0.7510752688172043|(('8218', '6461'), ('6461', '2914'), ('2914', '63528'), ('63528', '58362'))|('8218c2p', '6461p2p', '2914p2c', '63528p2c')
37.49.236.1|147.28.46.0/24|('8218', '37100', '58363')|False|0.05161290322580645|(('8218', '37100'), ('37100', '58363'))|('8218p2p', '37100p2c')
37.49.236.1|147.28.50.0/24|('8218', '174', '3356', '3549', '22548', '58364')|False|0.23387096774193547|(('8218', '174'), ('174', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('8218c2p', '174p2p', '3356p2c', '3549p2c', '22548p2c')
37.49.236.1|147.28.50.0/24|('8218', '6939', '16735', '22548', '58364')|False|0.05|(('8218', '6939'), ('6939', '16735'), ('16735', '22548'), ('22548', '58364'))|('8218p2p', '6939p2c', '16735p2c', '22548p2c')
37.49.236.1|147.28.54.0/24|('8218', '174', '1299', '5539', '58365')|False|0.26129032258064516|(('8218', '174'), ('174', '1299'), ('1299', '5539'), ('5539', '58365'))|('8218c2p', '174p2p', '1299p2c', '5539p2c')
