nodes,ave_mcmc,risk_mcmc_mean,credible_interval_mcmc,risk_mcmc_hpd,ave_hmc,risk_hmc_mean,credible_interval_hmc,risk_hmc_hpd,total_risk
1798,0.9703455958980292,1.0,[0.89728723 0.99999716],1.0,0.9938896725186682,1.0,[0.96176374 1.        ],1.0,1.0
1820,0.9407405796280989,1.0,[0.54513787 0.99992252],3.0,0.9865026271378855,1.0,[0.77040842 1.        ],2.0,2.0
1836,0.8281503694052349,2.0,[0.38861284 0.9999404 ],3.0,0.9474637342966769,1.0,[0.63011392 1.        ],2.0,2.0
1853,0.8491917945904484,2.0,[0.70348525 0.99996041],2.0,0.9626415562633688,1.0,[0.87162111 1.        ],1.0,2.0
1916,0.964189635257906,1.0,[0.93918471 0.99999877],1.0,0.9910714509693448,1.0,[0.97946085 1.        ],1.0,1.0
2044,0.9334266872534985,1.0,[0.25668959 0.99987255],3.0,0.9858920105371558,1.0,[0.34808682 1.        ],3.0,2.0
2119,0.952303530173134,1.0,[0.55390538 0.99982965],3.0,0.9895348020331632,1.0,[0.74610406 1.        ],2.0,2.0
2152,0.6593283391844588,2.0,[0.78859916 0.99996655],2.0,0.8600887160678642,1.0,[0.92110804 1.        ],1.0,2.0
2497,0.9708392121343128,1.0,[0.99714374 0.99999919],1.0,0.993679327865019,1.0,[0.99934093 1.        ],1.0,1.0
2516,0.9879620345386259,1.0,[0.94174716 0.99999413],1.0,0.9977327578983491,1.0,[0.98093206 1.        ],1.0,1.0
2518,0.8265624000326904,2.0,[0.84574058 0.99999036],2.0,0.9555366822059908,1.0,[0.94390608 1.        ],1.0,2.0
2586,0.9763472052665643,1.0,[0.71780593 0.99987001],2.0,0.9952650541397782,1.0,[0.89398968 1.        ],1.0,2.0
2593,0.9238351208247919,1.0,[0.88233618 0.99998997],1.0,0.9833841686482986,1.0,[0.95602815 1.        ],1.0,1.0
2597,0.9526543303104856,1.0,[0.89208462 0.99999665],1.0,0.9899418124759735,1.0,[0.96451529 1.        ],1.0,1.0
2598,0.9866554529457978,1.0,[0.82422432 0.9999146 ],2.0,0.9973006911785225,1.0,[0.93923018 1.        ],1.0,2.0
2603,0.8708673064282846,1.0,[0.85707059 0.99999248],1.0,0.96617054161048,1.0,[0.9574114 1.       ],1.0,1.0
2613,0.7940153443530384,2.0,[0.83948077 0.99997295],2.0,0.9417071154593333,1.0,[0.9441628 1.       ],1.0,2.0
2764,0.8787512580657805,1.0,[0.70806675 0.9999823 ],2.0,0.9705871346245166,1.0,[0.87368998 1.        ],1.0,2.0
2895,0.9664453555464799,1.0,[0.73914779 0.99988447],2.0,0.9931440341489683,1.0,[0.89449317 1.        ],1.0,2.0
2905,0.9757449151095146,1.0,[0.26021828 0.99947303],3.0,0.9949216629458352,1.0,[0.37938921 1.        ],3.0,2.0
2914,0.5731954136754052,3.0,[0.99755978 0.99999996],1.0,0.6291404357293845,2.0,[0.99972947 1.        ],1.0,2.0
3130,0.8574539066667173,1.0,[0.99726629 0.99999953],1.0,0.9631593457818212,1.0,[0.99945746 1.        ],1.0,1.0
3214,0.9744070666373248,1.0,[0.96276391 0.99999841],1.0,0.9947699075882226,1.0,[0.98840768 1.        ],1.0,1.0
3216,0.9797224195556099,1.0,[0.56726347 0.99980695],3.0,0.9958371954462739,1.0,[0.79843839 1.        ],2.0,2.0
