peer|prefix|path|rfd|mis_rec_ratio|path-with-links|path-with-agg-links
187.16.221.193|147.28.50.0/24|('37468', '3356', '3549', '22548', '58364')|False|0.017241379310344827|(('37468', '3356'), ('3356', '3549'), ('3549', '22548'), ('22548', '58364'))|('37468p2p', '3356p2c', '3549p2c', '22548p2c')
187.16.221.193|147.28.54.0/24|('37468', '1299', '33891', '5539', '58365')|False|0.47701149425287354|(('37468', '1299'), ('1299', '33891'), ('33891', '5539'), ('5539', '58365'))|('37468c2p', '1299p2c', '33891p2c', '5539p2c')
187.16.221.193|147.28.54.0/24|('37468', '1299', '5539', '58365')|False|0.28735632183908044|(('37468', '1299'), ('1299', '5539'), ('5539', '58365'))|('37468c2p', '1299p2c', '5539p2c')
187.16.221.193|147.28.54.0/24|('37468', '174', '1299', '5539', '58365')|False|0.4396551724137931|(('37468', '174'), ('174', '1299'), ('1299', '5539'), ('5539', '58365'))|('37468c2p', '174p2p', '1299p2c', '5539p2c')
187.16.221.193|147.28.54.0/24|('37468', '174', '2914', '5539', '58365')|False|0.30603448275862066|(('37468', '174'), ('174', '2914'), ('2914', '5539'), ('5539', '58365'))|('37468c2p', '174p2p', '2914p2c', '5539p2c')
187.16.221.193|147.28.54.0/24|('37468', '21385', '5539', '58365')|False|0.4640804597701149|(('37468', '21385'), ('21385', '5539'), ('5539', '58365'))|('37468p2p', '21385p2c', '5539p2c')
187.16.221.193|147.28.54.0/24|('37468', '5539', '58365')|False|0.005747126436781609|(('37468', '5539'), ('5539', '58365'))|('37468p2p', '5539p2c')
187.16.221.193|45.132.190.0/24|('37468', '1299', '31027', '44869', '58360')|False|0.0014367816091954023|(('37468', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('37468c2p', '1299p2c', '31027p2c', '44869p2c')
187.16.221.193|45.132.190.0/24|('37468', '174', '1299', '31027', '44869', '58360')|False|0.24856321839080459|(('37468', '174'), ('174', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('37468c2p', '174p2p', '1299p2c', '31027p2c', '44869p2c')
187.16.221.193|45.132.190.0/24|('37468', '3356', '1299', '31027', '44869', '58360')|False|0.05459770114942529|(('37468', '3356'), ('3356', '1299'), ('1299', '31027'), ('31027', '44869'), ('44869', '58360'))|('37468p2p', '3356p2p', '1299p2c', '31027p2c', '44869p2c')
187.16.221.229|147.28.50.0/24|('264409', '16735', '22548', '58364')|False|0.017241379310344827|(('264409', '16735'), ('16735', '22548'), ('22548', '58364'))|('264409None', '16735p2c', '22548p2c')
187.16.221.229|147.28.50.0/24|('264409', '22548', '58364')|False|0.0014367816091954023|(('264409', '22548'), ('22548', '58364'))|('264409p2p', '22548p2c')
187.16.221.92|147.28.50.0/24|('262612', '22548', '58364')|False|0.20114942528735633|(('262612', '22548'), ('22548', '58364'))|('262612p2p', '22548p2c')
187.16.222.107|147.28.34.0/24|('263152', '264556', '28263', '6939', '2497', '58361')|False|0.05890804597701149|(('263152', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '2497'), ('2497', '58361'))|('263152c2p', '264556c2p', '28263c2p', '6939p2p', '2497p2c')
187.16.222.107|147.28.34.0/24|('263152', '28329', '1299', '2497', '58361')|False|0.38936781609195403|(('263152', '28329'), ('28329', '1299'), ('1299', '2497'), ('2497', '58361'))|('263152c2p', '28329c2p', '1299p2p', '2497p2c')
187.16.222.107|147.28.34.0/24|('263152', '28329', '3356', '2497', '58361')|False|0.011494252873563218|(('263152', '28329'), ('28329', '3356'), ('3356', '2497'), ('2497', '58361'))|('263152c2p', '28329c2p', '3356p2c', '2497p2c')
187.16.222.107|147.28.34.0/24|('263152', '28329', '3549', '3356', '2497', '58361')|False|0.4640804597701149|(('263152', '28329'), ('28329', '3549'), ('3549', '3356'), ('3356', '2497'), ('2497', '58361'))|('263152c2p', '28329c2p', '3549c2p', '3356p2c', '2497p2c')
187.16.222.107|147.28.38.0/24|('263152', '264556', '28263', '6939', '3130')|False|0.03735632183908046|(('263152', '264556'), ('264556', '28263'), ('28263', '6939'), ('6939', '3130'))|('263152c2p', '264556c2p', '28263c2p', '6939p2p')
187.16.222.107|147.28.38.0/24|('263152', '28329', '3356', '1239', '3130')|False|0.30028735632183906|(('263152', '28329'), ('28329', '3356'), ('3356', '1239'), ('1239', '3130'))|('263152c2p', '28329c2p', '3356p2p', '1239p2c')
187.16.222.107|147.28.38.0/24|('263152', '28329', '3356', '2914', '3130')|False|0.022988505747126436|(('263152', '28329'), ('28329', '3356'), ('3356', '2914'), ('2914', '3130'))|('263152c2p', '28329c2p', '3356p2p', '2914p2c')
